Color,Isc
 ,"5,111751103"
C10,"4,857994265"
C30,"4,688897772"
C50,"4,506645741"
C90,"4,209120564"
M10,"4,875927959"
M30,"4,724154715"
M50,"4,52730939"
M90,"4,275501105"
Y10,"4,912326134"
Y30,"4,832583391"
Y50,"4,682014727"
Y90,"4,576246736"
K10,"4,801996842"
K30,"4,542773602"
K50,"4,182102682"
K90,"3,803194525"
C10M10,"4,651307545"
C30M30,"4,357924673"
C50M50,"4,004364122"
C70M70,"3,666019862"
C10Y10,"4,804362135"
C30Y30,"4,570493968"
C50Y50,"4,267986551"
C70Y70,"3,945919943"
M10Y10,"4,8423349"
M30Y30,"4,638690646"
M50Y50,"4,342351712"
M70Y70,"4,064173293"
C10K10,"4,707238983"
C30K30,"4,287966887"
C50K50,"3,826651329"
C70K70,"3,437774928"
M10K10,"4,712937944"
M30K30,"4,271309685"
M50K50,"3,858291735"
M70K70,"3,477432155"
Y10K10,"4,763051498"
Y30K30,"4,392653124"
Y50K50,"3,987621608"
Y70K70,"3,586952404"
C10M10Y10,"4,77919423"
C30M30Y30,"4,417818112"
C50M50Y50,"4,012063851"
C70M70Y70,"3,703695913"
M10Y10K10,"4,774648045"
M30Y30K30,"4,276142216"
M50Y50K50,"3,811944321"
M70Y70K70,"3,41867619"
